Date,Open,High,Low,Close,Volume,EMA4,EMA9,EMA18,RSI,STOCHRSIK,STOCHRSID,MACDs,MACDh,MACD,BBUPPER,BBMIDDLE,BBLOWER,ADX
2021-08-23 21:00:00,3321.28,3350.0,3281.96,3324.33,67679.38,,,,,,,,,,,,,
2021-08-24 01:00:00,3324.04,3357.85,3315.95,3346.6,57269.63,,,,,,,,,,,,,
2021-08-24 05:00:00,3346.61,3352.98,3298.0,3323.01,59875.6,,,,,,,,,,,,,
2021-08-24 09:00:00,3323.01,3324.83,3200.01,3211.54,156006.82,3301.37,,,,,,,,,,,,
2021-08-24 13:00:00,3211.54,3230.0,3147.31,3217.44,138238.64,3267.8,,,,,,,,,,,,
2021-08-24 17:00:00,3217.45,3225.0,3166.6,3170.62,61410.03,3228.93,,,,,,,,,,,,
2021-08-24 21:00:00,3170.63,3216.0,3168.32,3175.0,59090.83,3207.36,,,,,,,,,,,,
2021-08-25 01:00:00,3175.0,3222.26,3160.06,3183.6,61988.71,3197.85,,,,,,,,,,,,
2021-08-25 05:00:00,3183.38,3187.92,3080.0,3139.68,132193.65,3174.58,3232.42,,,,,,,,,,,
2021-08-25 09:00:00,3139.69,3224.0,3102.67,3217.17,118217.31,3191.62,3229.37,,,,,,,,,,,
2021-08-25 13:00:00,3217.17,3248.0,3201.0,3214.5,68133.67,3200.77,3226.4,,,,,,,,,,,
2021-08-25 17:00:00,3214.49,3239.93,3198.3,3226.87,44073.52,3211.21,3226.49,,,,,,,,,,,
2021-08-25 21:00:00,3226.88,3250.0,3140.73,3148.84,74431.58,3186.26,3210.96,,,,,,,,,,,
2021-08-26 01:00:00,3148.84,3167.08,3061.01,3105.16,100581.58,3153.82,3189.8,,,,,,,,,,,
2021-08-26 05:00:00,3105.16,3118.59,3072.89,3087.54,70851.69,3127.31,3169.35,,26.0,,,,,,,,,
2021-08-26 09:00:00,3087.55,3148.2,3053.3,3104.77,97590.29,3118.29,3156.43,,29.0,,,,,,,,,
2021-08-26 13:00:00,3104.76,3134.0,3075.09,3108.72,58306.07,3114.46,3146.89,,30.0,,,,,,,,,
2021-08-26 17:00:00,3109.04,3147.0,3088.25,3093.2,40537.26,3105.96,3136.15,3188.81,28.0,,,,,,,,,
2021-08-26 21:00:00,3093.06,3144.99,3060.18,3094.26,72552.85,3101.28,3127.77,3178.86,29.0,,,,,,,,,
2021-08-27 01:00:00,3094.16,3131.42,3075.79,3127.11,55637.07,3111.61,3127.64,3173.41,34.0,,,,,,,,,
2021-08-27 05:00:00,3126.17,3173.62,3102.5,3154.73,60235.82,3128.86,3133.06,3171.44,39.0,,,,,,3332.27,3179.75,3027.22,
2021-08-27 09:00:00,3155.46,3250.81,3132.29,3238.97,131293.04,3172.9,3154.24,3178.55,50.0,,,,,,3316.69,3175.68,3034.67,
2021-08-27 13:00:00,3238.96,3250.0,3220.16,3232.36,57945.35,3196.69,3169.87,3184.22,49.0,,,,,,3291.95,3170.24,3048.53,
2021-08-27 17:00:00,3232.36,3280.0,3222.63,3273.45,73363.69,3227.39,3190.58,3193.61,54.0,,,,,,3279.12,3167.88,3056.64,
2021-08-27 21:00:00,3273.89,3287.0,3239.23,3244.46,48552.27,3234.22,3201.36,3198.96,50.0,,,,,,3283.99,3169.45,3054.91,
2021-08-28 01:00:00,3244.46,3258.64,3223.3,3230.16,41334.15,3232.6,3207.12,3202.25,49.0,,,,,,3285.73,3170.06,3054.38,
2021-08-28 05:00:00,3230.28,3259.0,3210.31,3222.24,47163.7,3228.45,3210.14,3204.35,48.0,,,,,,3290.31,3172.51,3054.72,
2021-08-28 09:00:00,3222.24,3247.93,3211.01,3246.15,53173.39,3235.53,3217.34,3208.75,51.0,,,,,,3297.81,3175.9,3054.0,33.01
2021-08-28 13:00:00,3246.38,3265.0,3220.0,3230.24,47637.3,3233.42,3219.92,3211.01,49.0,,,,,,3302.19,3178.12,3054.06,31.02
2021-08-28 17:00:00,3230.24,3254.65,3226.91,3244.48,24499.53,3237.84,3224.83,3214.54,51.0,,,,,,3309.01,3183.11,3057.22,29.16
2021-08-28 21:00:00,3244.75,3285.0,3160.0,3180.28,106167.78,3214.82,3215.92,3210.93,43.0,,,,,,3306.33,3181.36,3056.38,28.77
2021-08-29 01:00:00,3180.54,3209.18,3152.34,3206.3,59975.75,3211.41,3214.0,3210.44,46.0,71.0,78.0,,,,3305.57,3180.97,3056.36,28.53
2021-08-29 05:00:00,3206.3,3219.33,3181.35,3181.83,41172.22,3199.58,3207.57,3207.43,44.0,59.0,69.0,,,,3301.73,3178.82,3055.91,28.02
2021-08-29 09:00:00,3181.83,3206.83,3165.57,3186.99,41187.15,3194.54,3203.45,3205.28,44.0,50.0,60.0,-10.0,5.0,-5.0,3302.85,3180.64,3058.43,27.83
2021-08-29 13:00:00,3186.99,3225.0,3180.83,3220.23,34989.77,3204.82,3206.81,3206.85,49.0,46.0,52.0,-8.0,6.0,-3.0,3304.56,3186.12,3067.67,27.12
2021-08-29 17:00:00,3220.24,3258.37,3213.66,3223.47,52314.12,3212.28,3210.14,3208.6,50.0,51.0,49.0,-7.0,6.0,-1.0,3303.39,3192.59,3081.79,25.57
2021-08-29 21:00:00,3223.47,3229.71,3143.0,3161.64,76271.23,3192.02,3200.44,3203.66,42.0,39.0,45.0,-6.0,2.0,-4.0,3299.99,3195.3,3090.61,25.44
2021-08-30 01:00:00,3161.64,3186.15,3145.49,3180.11,61805.18,3187.26,3196.37,3201.18,45.0,32.0,41.0,-6.0,1.0,-5.0,3296.32,3198.7,3101.08,25.32
2021-08-30 05:00:00,3180.12,3203.89,3166.14,3187.49,52785.15,3187.35,3194.6,3199.74,46.0,26.0,33.0,-6.0,1.0,-5.0,3288.94,3203.19,3117.44,24.74
2021-08-30 09:00:00,3187.48,3224.56,3149.14,3217.64,88807.81,3199.47,3199.21,3201.62,50.0,56.0,38.0,-5.0,3.0,-3.0,3279.74,3209.06,3138.39,23.67
2021-08-30 13:00:00,3217.86,3343.75,3213.7,3341.16,205477.31,3256.14,3227.6,3216.31,63.0,78.0,53.0,-2.0,11.0,9.0,3300.64,3219.26,3137.87,23.49
2021-08-30 17:00:00,3341.17,3347.95,3211.19,3229.64,140200.59,3245.54,3228.0,3217.71,50.0,76.0,70.0,0.0,9.0,9.0,3298.98,3222.82,3146.66,23.39
2021-08-30 21:00:00,3229.14,3249.82,3188.77,3237.78,89258.31,3242.44,3229.96,3219.83,51.0,60.0,71.0,2.0,8.0,10.0,3298.88,3222.77,3146.65,22.79
2021-08-31 01:00:00,3237.78,3368.58,3214.28,3358.12,157908.46,3288.71,3255.59,3234.38,61.0,57.0,64.0,6.0,14.0,20.0,3324.27,3228.76,3133.25,23.73
2021-08-31 05:00:00,3358.11,3439.0,3310.26,3429.95,200479.67,3345.21,3290.46,3254.97,65.0,78.0,65.0,11.0,22.0,33.0,3363.6,3236.21,3108.81,25.22
2021-08-31 09:00:00,3429.9,3476.0,3365.0,3386.63,198505.06,3361.78,3309.7,3268.83,61.0,91.0,75.0,17.0,23.0,40.0,3385.61,3242.98,3100.35,26.89
2021-08-31 13:00:00,3386.84,3422.57,3339.01,3414.3,127067.49,3382.79,3330.62,3284.14,63.0,91.0,87.0,23.0,24.0,47.0,3411.73,3251.75,3091.76,27.9
2021-08-31 17:00:00,3414.31,3445.0,3371.01,3429.2,89852.15,3401.35,3350.33,3299.41,64.0,90.0,91.0,29.0,24.0,53.0,3437.78,3261.6,3085.42,29.03
2021-08-31 21:00:00,3429.19,3447.0,3382.22,3442.15,100404.98,3417.67,3368.7,3314.44,65.0,96.0,92.0,35.0,23.0,58.0,3462.91,3270.93,3078.96,30.09
2021-09-01 01:00:00,3442.45,3545.05,3428.22,3516.86,153537.54,3457.35,3398.33,3335.74,69.0,99.0,95.0,41.0,26.0,68.0,3502.1,3284.58,3067.07,31.83
2021-09-01 05:00:00,3516.85,3559.4,3512.35,3530.99,123944.09,3486.8,3424.86,3356.3,70.0,100.0,98.0,48.0,27.0,75.0,3538.7,3298.23,3057.75,33.53
