Date,Open,High,Low,Close,Volume,EMA4,EMA9,EMA18,RSI,STOCHRSIK,STOCHRSID,MACDs,MACDh,MACD,BBUPPER,BBMIDDLE,BBLOWER,ADX
2021-08-23 13:30:00,3338.45,3347.98,3332.25,3335.33,7151.8,,,,,,,,,,,,,
2021-08-23 13:45:00,3335.34,3352.21,3325.31,3351.08,5560.48,,,,,,,,,,,,,
2021-08-23 14:00:00,3351.32,3355.58,3341.88,3346.47,6206.48,,,,,,,,,,,,,
2021-08-23 14:15:00,3346.47,3349.25,3336.24,3340.08,3321.42,3343.24,,,,,,,,,,,,
2021-08-23 14:30:00,3340.08,3346.29,3333.0,3340.93,3514.46,3342.32,,,,,,,,,,,,
2021-08-23 14:45:00,3340.93,3346.23,3327.5,3329.99,2865.18,3337.39,,,,,,,,,,,,
2021-08-23 15:00:00,3329.99,3337.68,3321.01,3325.79,4432.75,3332.75,,,,,,,,,,,,
2021-08-23 15:15:00,3325.8,3334.5,3314.97,3334.36,4016.99,3333.39,,,,,,,,,,,,
2021-08-23 15:30:00,3334.36,3336.7,3323.12,3334.69,3638.34,3333.91,3337.64,,,,,,,,,,,
2021-08-23 15:45:00,3334.69,3341.34,3326.11,3328.44,2523.01,3331.72,3335.8,,,,,,,,,,,
2021-08-23 16:00:00,3328.44,3328.45,3307.75,3309.92,5523.19,3323.0,3330.62,,,,,,,,,,,
2021-08-23 16:15:00,3309.93,3322.0,3307.0,3315.01,3804.62,3319.81,3327.5,,,,,,,,,,,
2021-08-23 16:30:00,3315.01,3320.0,3310.0,3312.84,2813.5,3317.02,3324.57,,,,,,,,,,,
2021-08-23 16:45:00,3312.85,3317.6,3304.29,3309.62,3862.11,3314.06,3321.58,,,,,,,,,,,
2021-08-23 17:00:00,3309.63,3310.0,3280.0,3296.55,10707.09,3307.06,3316.57,,31.0,,,,,,,,,
2021-08-23 17:15:00,3296.55,3314.55,3286.82,3313.58,6408.9,3309.67,3315.97,,41.0,,,,,,,,,
2021-08-23 17:30:00,3313.59,3327.62,3311.34,3325.58,3648.07,3316.03,3317.89,,48.0,,,,,,,,,
2021-08-23 17:45:00,3325.58,3344.49,3318.99,3339.36,7952.45,3325.36,3322.19,3327.2,54.0,,,,,,,,,
2021-08-23 18:00:00,3339.35,3344.85,3336.13,3336.7,3441.46,3329.9,3325.09,3328.2,52.0,,,,,,,,,
2021-08-23 18:15:00,3336.71,3338.4,3328.02,3329.48,1925.98,3329.73,3325.97,3328.34,49.0,,,,,,,,,
2021-08-23 18:30:00,3329.48,3339.62,3325.01,3337.31,2496.99,3332.76,3328.24,3329.28,53.0,,,,,,3355.48,3328.24,3301.01,
